closing_date,year,period_type,dividend_value
2025-05-05,2024,full year,29.72
2024-09-30,2024,half year,27.26
2024-05-06,2023,full year,23.37
2023-10-09,2023,half year,19.08
2023-05-10,2022,full year,21.16
2022-08-29,2022,half year,11.81
2022-06-14,2021,full year,0.0
2021-06-07,2020,full year,4.56
2020-12-11,2020,9 months,3.33
2020-06-08,2019,full year,0.0
2019-06-10,2018,full year,3.71
2018-06-04,2017,full year,1.62
2017-05-31,2016,full year,1.05
2016-06-07,2015,full year,1.05
2015-07-03,2014,full year,2.02
2014-07-07,2013,full year,0.11
2013-03-07,2012,full year,0.11
2012-03-11,2011,full year,0.11
2011-03-10,2010,full year,0.11
