closing_date,year,period_type,dividend_value
2025-04-28,2024,full year,46.65
2024-10-11,2024,full year,35.5
2024-03-26,2023,full year,44.09
2023-10-10,2023,full year,34.5
2023-05-03,2022,full year,60.58
2022-10-09,2022,full year,45.0
2022-05-05,2021,full year,43.77
2021-10-11,2021,full year,27.67
2021-05-07,2020,full year,23.74
2020-10-12,2020,full year,11.82
2020-05-08,2019,full year,18.1
2019-10-10,2019,full year,14.23
2019-05-06,2018,full year,16.81
2018-10-10,2018,full year,9.25
2014-10-27,2014,full year,5.1
2014-04-29,2013,full year,4.49
2013-09-16,2013,full year,3.4
2013-03-21,2012,full year,3.86
2009-04-20,2008,full year,1.52
2008-07-24,2008,full year,1.0
2008-04-10,2007,full year,1.52
2007-09-03,2007,full year,0.83
2007-04-05,2006,full year,1.1
2006-07-31,2006,full year,0.55
2006-04-21,2005,full year,0.523
2005-10-31,2005,full year,0.377
2005-04-25,2004,full year,0.256
2004-04-25,2003,full year,0.2514
2003-02-06,2002,full year,0.02196
2002-03-29,2001,full year,0.01
